DANH SÁCH TỪ VIẾT TẮT / TEENCODE / RÁC
==================================================
Từ vựng              | Số lần xuất hiện    
--------------------------------------------------
gian                 | 408                 
dung                 | 395                 
quan                 | 367                 
ra                   | 355                 
slide                | 279                 
mong                 | 192                 
sau                  | 187                 
cung                 | 183                 
qua                  | 150                 
do                   | 117                 
tin                  | 95                  
doubledot            | 85                  
code                 | 84                  
xem                  | 74                  
mang                 | 74                  
trang                | 68                  
sai                  | 64                  
moodle               | 61                  
danh                 | 56                  
sao                  | 53                  
so                   | 52                  
lab                  | 51                  
xin                  | 45                  
ngay                 | 42                  
deadline             | 42                  
bao                  | 42                  
ai                   | 40                  
seminar              | 39                  
sung                 | 39                  
lan                  | 39                  
man                  | 35                  
hy                   | 33                  
hai                  | 33                  
micro                | 32                  
song                 | 31                  
gia                  | 30                  
loa                  | 29                  
hi                   | 27                  
colonsmile           | 27                  
mail                 | 27                  
website              | 26                  
nay                  | 25                  
game                 | 24                  
nghe                 | 23                  
xa                   | 23                  
visual               | 22                  
duy                  | 22                  
demo                 | 22                  
kinh                 | 21                  
web                  | 21                  
up                   | 20                  
khan                 | 20                  
video                | 20                  
fraction             | 19                  
sang                 | 19                  
doanh                | 19                  
dot                  | 18                  
quen                 | 17                  
courses              | 17                  
lai                  | 16                  
file                 | 15                  
laptop               | 14                  
speaking             | 14                  
suy                  | 13                  
ban                  | 13                  
lo                   | 13                  
ta                   | 12                  
con                  | 12                  
colonsmilesmile      | 12                  
coi                  | 11                  
ok                   | 11                  
colonsad             | 11                  
logic                | 11                  
google               | 11                  
tay                  | 11                  
studio               | 11                  
ty                   | 10                  
kit                  | 10                  
copy                 | 10                  
internet             | 9                   
coloncontemn         | 9                   
xen                  | 9                   
di                   | 8                   
vdotv                | 8                   
wecode               | 8                   
may                  | 8                   
course               | 8                   
ha                   | 8                   
colonlove            | 7                   
project              | 7                   
anh                  | 7                   
sql                  | 7                   
daa                  | 6                   
ham                  | 6                   
toeic                | 6                   
listening            | 6                   
post                 | 6                   
lao                  | 6                   
quay                 | 6                   
source               | 6                   
java                 | 6                   
kia                  | 6                   
say                  | 6                   
trau                 | 6                   
windows              | 5                   
colonbigsmile        | 5                   
win                  | 5                   
lung                 | 5                   
oop                  | 5                   
ba                   | 5                   
good                 | 5                   
training             | 5                   
xe                   | 5                   
dotdotdot            | 5                   
server               | 5                   
am                   | 4                   
virus                | 4                   
android              | 4                   
module               | 4                   
bit                  | 4                   
vai                  | 4                   
html                 | 4                   
clip                 | 4                   
lau                  | 4                   
very                 | 4                   
colonsmallsmile      | 4                   
nam                  | 4                   
la                   | 4                   
test                 | 3                   
email                | 3                   
show                 | 3                   
colondoublesurprise  | 3                   
share                | 3                   
bai                  | 3                   
it                   | 3                   
tai                  | 3                   
wireshark            | 3                   
tung                 | 3                   
da                   | 3                   
tui                  | 3                   
uit                  | 3                   
day                  | 3                   
team                 | 3                   
is                   | 3                   
silde                | 3                   
tan                  | 3                   
grammar              | 3                   
like                 | 3                   
patin                | 3                   
in                   | 3                   
ca                   | 3                   
hoc                  | 2                   
ganh                 | 2                   
for                  | 2                   
servlet              | 2                   
online               | 2                   
update               | 2                   
scrum                | 2                   
wzjwz83              | 2                   
ida                  | 2                   
pro                  | 2                   
soft                 | 2                   
js                   | 2                   
paste                | 2                   
ngon                 | 2                   
silverlight          | 2                   
cplusplus            | 2                   
lap                  | 2                   
pattern              | 2                   
wzjwz81              | 2                   
treo                 | 2                   
prolog               | 2                   
vi                   | 2                   
cassette             | 2                   
trigger              | 2                   
lum                  | 2                   
love                 | 2                   
linux                | 2                   
1dot5                | 2                   
tam                  | 2                   
ios                  | 2                   
mua                  | 2                   
dotnet               | 2                   
debate               | 2                   
cute                 | 2                   
ielts                | 2                   
wzjwz80              | 2                   
cs                   | 2                   
translate            | 2                   
slile                | 2                   
ubuntu               | 2                   
youtube              | 2                   
directx              | 2                   
mai                  | 2                   
gmail                | 2                   
standford            | 2                   
wzjwz133             | 2                   
im                   | 2                   
trai                 | 2                   
submit               | 2                   
colonsadcolon        | 2                   
teen                 | 2                   
cam                  | 2                   
lang                 | 2                   
giang                | 2                   
name                 | 2                   
xml                  | 2                   
xu                   | 2                   
wzjwz314             | 2                   
step                 | 2                   
full                 | 1                   
wzjwz208             | 1                   
wzjwz209             | 1                   
dealine              | 1                   
wzjwz163             | 1                   
wzjwz178             | 1                   
bohm                 | 1                   
overview             | 1                   
wzjwz259             | 1                   
wzjwz324             | 1                   
xoay                 | 1                   
che                  | 1                   
sat                  | 1                   
wzjwz174             | 1                   
wzjwz252             | 1                   
wzjwz159             | 1                   
de2                  | 1                   
if                   | 1                   
struct               | 1                   
wzjwz311             | 1                   
egov                 | 1                   
wzjwz157             | 1                   
codefun              | 1                   
wzjwz239             | 1                   
tao                  | 1                   
wzjwz127             | 1                   
su                   | 1                   
wzjwz177             | 1                   
wzjwz237             | 1                   
wzjwz129             | 1                   
wzjwz130             | 1                   
reply                | 1                   
nope                 | 1                   
notepad              | 1                   
box                  | 1                   
forum                | 1                   
paper                | 1                   
wzjwz253             | 1                   
wzjwz199             | 1                   
wzjwz325             | 1                   
wzjwz146             | 1                   
wzjwz292             | 1                   
wzjwz256             | 1                   
co                   | 1                   
wzjwz212             | 1                   
quick                | 1                   
wzjwz281             | 1                   
wzjwz300             | 1                   
wzjwz73              | 1                   
ren                  | 1                   
gb                   | 1                   
ram                  | 1                   
wzjwz323             | 1                   
unit                 | 1                   
gay                  | 1                   
wzjwz123             | 1                   
mini                 | 1                   
wzjwz243             | 1                   
vector               | 1                   
poison               | 1                   
css                  | 1                   
jquery               | 1                   
wzjwz169             | 1                   
wzjwz62              | 1                   
wzjwz98              | 1                   
wzjwz99              | 1                   
skype                | 1                   
reo                  | 1                   
tmf                  | 1                   
wzjwz53              | 1                   
wzjwz187             | 1                   
wzjwz11              | 1                   
hao                  | 1                   
protues              | 1                   
vu                   | 1                   
wzjwz104             | 1                   
console              | 1                   
form                 | 1                   
wzjwz278             | 1                   
wzjwz262             | 1                   
severside            | 1                   
wzjwz6               | 1                   
wzjwz86              | 1                   
pin                  | 1                   
wzjwz48              | 1                   
va                   | 1                   
wzjwz301             | 1                   
wzjwz270             | 1                   
odoo                 | 1                   
pos                  | 1                   
wed                  | 1                   
we                   | 1                   
wzjwz107             | 1                   
altera               | 1                   
wzjwz257             | 1                   
outdoor              | 1                   
hackerrank           | 1                   
cdio                 | 1                   
he                   | 1                   
funny                | 1                   
giai                 | 1                   
wzjwz74              | 1                   
wzjwz3               | 1                   
wzjwz119             | 1                   
matlab               | 1                   
wzjwz196             | 1                   
wzjwz303             | 1                   
wzjwz85              | 1                   
wzjwz235             | 1                   
wzjwz236             | 1                   
aep                  | 1                   
wzjwz153             | 1                   
wzjwz103             | 1                   
wzjwz18              | 1                   
gom                  | 1                   
proteus              | 1                   
word                 | 1                   
wzjwz263             | 1                   
wzjwz139             | 1                   
wzjwz21              | 1                   
