sentence,sentiment,topic,sentence_final,sentence_segmented,len_original,len_final,len_segmented
slide giáo trình đầy đủ .,2,1,slide giáo trình đầy đủ .,slide giáo_trình đầy_đủ .,6,6,4
"nhiệt tình giảng dạy , gần gũi với sinh viên .",2,0,nhiệt tình giảng dạy gần gũi với sinh viên .,nhiệt_tình giảng_dạy gần_gũi với sinh_viên .,11,10,6
đi học đầy đủ full điểm chuyên cần .,0,1,đi học đầy đủ full điểm chuyên cần .,đi học đầy_đủ full_điểm chuyên cần .,9,9,7
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,chưa áp_dụng công_nghệ_thông_tin và các thiết_bị hỗ_trợ cho việc giảng_dạy .,18,18,11
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,0,thầy giảng bài hay có nhiều bài tập ví dụ ngay trên lớp .,thầy giảng bài hay có nhiều bài_tập ví_dụ ngay trên lớp .,15,14,12
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,0,giảng viên đảm bảo thời gian lên lớp tích cực trả lời câu hỏi của sinh viên thường xuyên đặt câu hỏi cho sinh viên .,giảng_viên đảm_bảo thời_gian lên lớp tích_cực trả_lời câu hỏi của sinh_viên thường_xuyên đặt câu hỏi cho sinh_viên .,28,26,18
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,3,em sẽ nợ môn này nhưng em sẽ học lại ở các học kỳ kế tiếp .,em sẽ nợ môn này nhưng em sẽ học lại ở các học_kỳ kế_tiếp .,18,17,15
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,1,thời lượng học quá dài không đảm bảo tiếp thu hiệu quả .,thời_lượng học quá dài không đảm_bảo tiếp_thu hiệu_quả .,14,13,9
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1,nội dung môn học có phần thiếu trọng tâm hầu như là chung chung khái quát khiến sinh viên rất khó nắm được nội dung môn học .,nội_dung môn_học có phần thiếu trọng_tâm hầu_như là chung_chung khái_quát khiến sinh_viên rất khó nắm được nội_dung môn_học .,30,28,19
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,1,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,cần nói rõ hơn bằng cách trình_bày lên bảng thay_vì nhìn vào slide .,16,16,14
thầy rất tận tình và đi dạy rất đúng giờ .,2,0,thầy rất tận tình và đi dạy rất đúng giờ .,thầy rất tận_tình và đi dạy rất đúng giờ .,11,11,10
dễ bị áp lực .,0,3,dễ bị áp lực .,dễ bị áp_lực .,5,5,4
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,0,đang dạy thầy đi qua nước ngoài giữa chừng thầy dạy thay .,đang dạy thầy đi qua nước_ngoài giữa_chừng thầy dạy thay .,16,13,11
môn học còn dễ cần nâng độ khó lên nữa .,0,1,môn học còn dễ cần nâng độ khó lên nữa .,môn_học còn dễ cần nâng_độ khó lên nữa .,11,11,9
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1,có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc để giúp hiểu rõ hơn vê ngành mình đang học .,có_thể cho sinh_viên đi thăm_quan nhiều công_ty xem quy_mô và cách làm_việc để giúp hiểu rõ hơn vê ngành mình đang học .,30,29,23
hài lòng về tất cả .,2,3,hài lòng về tất cả .,hài_lòng về tất_cả .,6,6,4
"nhiệt tình , vui vẻ .",2,0,nhiệt tình vui vẻ .,nhiệt_tình vui_vẻ .,6,5,3
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,0,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,thấy nhiệt_tình trong việc trao_đổi giúp_đỡ về học_tập .,13,13,9
phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,0,phong cách giảng bài của thầy rất gần gũi với sinh viên,phong_cách giảng_bài của thầy rất gần_gũi với sinh_viên,13,12,8
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,0,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,giảng_dạy kết_hợp các hoạt_động giải_trí có hiệu_quả .,13,13,8
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,1,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,cần tạo các buổi seminar để sinh_viên có_thể hiểu sâu thêm về các vấn_đề trong chuyên_ngành nhưng không có trong môn_học .,27,27,22
tiết học thoải mái .,2,0,tiết học thoải mái .,tiết học thoải_mái .,5,5,4
"thầy nhiệt tình , quan tâm tới sinh viên .",2,0,thầy nhiệt tình quan tâm tới sinh viên .,thầy nhiệt_tình quan_tâm tới sinh_viên .,10,9,6
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,0,giảng dạy nhiệt tình hướng dẫn chi tiết đến lúc sinh viên hiểu,giảng_dạy nhiệt_tình hướng_dẫn chi_tiết đến lúc sinh_viên hiểu,15,13,8
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,1,chưa có nhiều tiết làm bài tập chữa bài tập trên lớp .,chưa có nhiều tiết làm bài_tập chữa bài_tập trên lớp .,14,13,11
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,1,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,tài_liệu được bổ_sung nhiều và đầy_đủ trên moodle .,12,12,9
